Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,UML Package Diagram
2,Component Box,UML,1,,,,,,,User
3,Text,Standard,1,,57,,,,,Tipsy UML Component Diagram
4,Text,Standard,1,,57,,,,,"Rahul Sondhi  |  October 27, 2019"
5,Rectangle Container,Flowchart Shapes,1,,58,,,,,
6,Text,Standard,1,5,58,,,,,Learn about this template
7,Text,Standard,1,5,58,,,,,"This UML package diagram models the packages of a basic e-commerce web app. 

UML package diagrams are used to show the structure of a designed system at package level. Please note that:
UML package diagrams are only composed of packages and the dependencies between them.
A package not only groups together related elements of systems based on data, classes, or user interaction but also defines a namespace for the elements it contains.

To create your own UML package diagram: 
Either alter this template or click the ""Create your own"" blue button to start with a blank UML diagram.
Drag and drop the various UML shapes from the toolbox onto the canvas or use UML Markup.
Search for shape names to find the correct shape faster (click  magnifying glass in top left corner      )."
8,Text,Standard,1,5,58,,,,,"Tutorials (Hold Shift + ⌘ or Ctrl, then click)"
9,Button,UI Mockups,1,5,58,,,,,Read about UML diagram templates and examples
10,Button,UI Mockups,1,5,58,,,,,Visit our UML class diagram page
11,Button,UI Mockups,1,5,58,,,,,Watch Lucidchart basic tutorials
12,Button,UI Mockups,1,5,58,,,,,"Create your own (Hold Shift + ⌘ or Ctrl, then click)"
13,User Image,User Images,1,5,58,,,,,
14,SVGPathBlock2,,1,5,59,,,,,
15,Circle,Geometric Shapes,1,5,59,,,,,
16,Component,UML,1,,,,,,,Account
17,Component,UML,1,,,,,,,Recipes
18,Component,UML,1,,,,,,,Bars
19,Component,UML,1,,,,,,,Login/Register
20,Component,UML,1,,,,,,,Search
21,Assembly,UML,1,,,,,,,
22,Assembly,UML,1,,,,,,,
23,Component,UML,1,,,,,,,Bar Page
24,Component,UML,1,,,,,,,Recipe Page
25,Assembly,UML,1,,,,,,,
26,Component,UML,1,,,,,,,Bar Creation
27,Component,UML,1,,,,,,,Recipe Creation
28,Component,UML,1,,,,,,,Equipment Page
29,Component,UML,1,,,,,,,Equipment
30,Component Box,UML,1,,,,,,,Spring
31,Component Box,UML,1,,,,,,,MongoDB
32,Assembly,UML,1,,,,,,,
33,Assembly,UML,1,,,,,,,
34,Assembly,UML,1,,,,,,,
35,Line,,1,,57,,,None,None,
36,Line,,1,,,19,2,None,None,
37,Line,,1,,,16,20,None,Arrow,
38,Line,,1,,,16,21,None,None,
39,Line,,1,,,20,22,None,None,
40,Line,,1,,,22,18,None,None,View
41,Line,,1,,,17,22,None,None,Play
42,Line,,1,,,25,16,None,None,
43,Line,,1,,,23,21,None,None,
44,Line,,1,,,24,25,None,None,
45,Line,,1,,,23,18,None,None,
46,Line,,1,,,24,17,None,None,
47,Line,,1,,,27,24,None,None,
48,Line,,1,,,26,23,None,None,
49,Line,,1,,,26,18,None,None,Control/Access
50,Line,,1,,,27,17,None,None,Control
51,Line,,1,,,22,29,None,Arrow,View
52,Line,,1,,,28,29,None,Arrow,Control
53,Line,,1,,,2,30,None,None,
54,Line,,1,,,30,31,None,None,
55,Line,,1,,,32,28,None,None,
56,Line,,1,,,32,16,None,None,
57,Group 1,,1,,,,,,,
58,Group 2,,1,,,,,,,
59,Group 3,,1,,58,,,,,
